Name,Description,API,Format Output,Cost,Get key,UI type,Response,Method,Need API KEY
SCRAPE_URL_,Scraper automatically extracts data from websites.,https://api.firecrawl.dev/v1/scrape,"{
    ""type"": ""object"",
    ""properties"": {
        ""url"": {
            ""type"": ""string"",
            ""description"": ""The URL to be used.""
        }
    },
    ""required"": [""url""],
    ""additionalProperties"": False
}
",$16,https://www.firecrawl.dev/app/api-keys,Text,,POST,Bearer
IMAGE_TO_TEXT_,Image to text can analyze an image and generate a detailed textual description of its content.,https://api-inference.huggingface.co/models/Salesforce/blip-image-captioning-large,"{
    ""type"": ""object"",
    ""properties"": {
        ""image"": {
            ""type"": ""string"",
            ""format"": ""binary"",
            ""description"": ""Binary data representing the image.""
        }
    },
    ""required"": [""image""],
    ""additionalProperties"": False
}
",$0,https://huggingface.co/settings/tokens,Text,,POST,Bearer
CURRACY_CONVERTER_,Curracy Converter allows you to convert one currency into another,https://api.apilayer.com/fixer/convert,"{
    ""type"": ""object"",
    ""properties"": {
        ""to"": {
            ""type"": ""string"",
            ""description"": ""The recipient's identifier.""
        },
        ""from"": {
            ""type"": ""string"",
            ""description"": ""The sender's identifier.""
        },
        ""amount"": {
            ""type"": ""number"",
            ""description"": ""The amount to be transferred.""
        }
    },
    ""required"": [""to"", ""from"", ""amount""],
    ""additionalProperties"": False
}
",$0 until 100 than 15$,https://apilayer.com/marketplace/fixer-api#documentation-tab,Text,,GET,No
WEATHER_,Weather lets you get whether in a specific area at a particular time ,http://api.weatherstack.com/current,"{
    ""type"": ""object"",
    ""properties"": {
        ""query"": {
            ""type"": ""string"",
            ""description"": ""The search or query string.""
        }
    },
    ""required"": [""query""],
    ""additionalProperties"": False
}
",0 untill 250 than $10,https://weatherstack.com/dashboard,Weather,current -> temperature,GET,Search
SCREENSHOT_,Takes screenshot of site you provide url of,http://api.screenshotlayer.com/api/capture,"{
    ""type"": ""object"",
    ""properties"": {
        ""access_key"": {
            ""type"": ""string"",
            ""description"": ""The access key for authentication.""
        },
        ""url"": {
            ""type"": ""string"",
            ""description"": ""The URL to be accessed.""
        }
    },
    ""required"": [""access_key"", ""url""],
    ""additionalProperties"": False
}
",0 untill 100 than $20,https://screenshotlayer.com/dashboard,Image,,GET,Search
SHORTEN_URL_,"Given a long URL, returns a short link",https://cleanuri.com/api/v1/shorten,"{
    ""type"": ""object"",
    ""properties"": {
        ""url"": {
            ""type"": ""string"",
            ""description"": ""The URL to be used.""
        }
    },
    ""required"": [""url""],
    ""additionalProperties"": False
}
",$0,Don't require,Text,result_url,POST,No
TRANSLATE_,Convert text from one language to another when you provide query and target,https://translation.googleapis.com/language/translate/v2,"{
    ""type"": ""object"",
    ""properties"": {
        ""q"": {
            ""type"": ""string"",
            ""description"": ""The query string to search.""
        },
        ""target"": {
            ""type"": ""string"",
            ""description"": ""The target or destination for the query.""
        },
        ""key"": {
            ""type"": ""string"",
            ""description"": ""The API key for authentication.""
        }
    },
    ""required"": [""q"", ""target"", ""key""],
    ""additionalProperties"": False
}
",as you use,https://console.cloud.google.com/apis/credentials,Text,,POST,No
BLAND_AI_BATCH_CALL_WITH_TASK_,Send large volumes of calls at once with follow-up sequences.,https://api.bland.ai/v2/batches,"{
  ""type"": ""object"",
  ""properties"": {
    ""phone_numbers"": {
      ""type"": ""array"",
      ""items"": {
        ""type"": ""string""
      },
      ""description"": ""A list of phone numbers to contact.""
    },
    ""task"": {
      ""type"": ""string"",
      ""description"": ""The task to perform, such as distracting with a story.""
    }
  },
  ""required"": [""phone_numbers"", ""task""],
  ""additionalProperties"": False
}
","Bland costs $0.09/minute, only for connected calls, billed to the exact second. ",https://app.bland.ai/,Text,,POST,Header
BLAND_AI_CALL_WITH_TASK_,Send an AI phone call with a custom objective and actions.,https://api.bland.ai/v1/calls,"{
    ""type"": ""object"",
    ""properties"": {
        ""phone_number"": {
            ""type"": ""string"",
            ""description"": ""The phone number to contact.""
        },
        ""task"": {
            ""type"": ""string"",
            ""description"": ""The task to perform, such as distracting with a story.""
        }
    },
    ""required"": [""phone_number"", ""task""],
    ""additionalProperties"": False
}
","Bland costs $0.09/minute, only for connected calls, billed to the exact second. ",https://app.bland.ai/,Text,,POST,Header
FLUX_TEXT_TO_IMAGE_,Flux text-to-image generation model designed to create high-quality images from textual descriptions, https://api.aimlapi.com/images/generations,"{
    ""type"": ""object"",
    ""properties"": {
        ""prompt"": {
            ""type"": ""string"",
            ""description"": ""The description for the art generation prompt.""
        },
        ""model"": {
            ""type"": ""string"",
            ""description"": ""Just write in here 'flux/schnell' "",
            ""default"": 7
        }
    },
    ""required"": [""prompt"", ""model""],
    ""additionalProperties"": False
}",1k tokens for $0.0525,https://aimlapi.com/app/keys,Image,images -> url,POST,Bearer
